Assignment_group,counts,percentage
GRP_0,3976,46.77647058823529
GRP_8,661,7.776470588235294
GRP_24,289,3.4000000000000004
GRP_12,257,3.023529411764706
GRP_9,252,2.9647058823529413
GRP_2,241,2.835294117647059
GRP_19,215,2.5294117647058822
GRP_3,200,2.3529411764705883
GRP_6,184,2.164705882352941
GRP_13,145,1.7058823529411766
GRP_10,140,1.647058823529412
GRP_5,129,1.5176470588235296
GRP_14,118,1.388235294117647
GRP_25,116,1.3647058823529412
GRP_33,107,1.2588235294117647
GRP_4,100,1.1764705882352942
GRP_29,97,1.1411764705882352
GRP_18,88,1.035294117647059
GRP_16,85,1.0
GRP_17,81,0.9529411764705882
GRP_31,69,0.8117647058823529
GRP_7,68,0.8
GRP_34,62,0.7294117647058823
GRP_26,56,0.6588235294117647
GRP_40,45,0.5294117647058824
GRP_28,44,0.5176470588235295
GRP_41,40,0.4705882352941176
GRP_30,39,0.45882352941176474
GRP_15,39,0.45882352941176474
GRP_42,37,0.43529411764705883
GRP_20,36,0.4235294117647058
GRP_45,35,0.411764705882353
GRP_22,31,0.36470588235294116
GRP_1,31,0.36470588235294116
GRP_11,30,0.35294117647058826
GRP_21,29,0.3411764705882353
GRP_47,27,0.3176470588235294
GRP_48,25,0.29411764705882354
GRP_23,25,0.29411764705882354
GRP_62,25,0.29411764705882354
GRP_60,20,0.2352941176470588
GRP_39,19,0.2235294117647059
GRP_27,18,0.2117647058823529
GRP_37,16,0.18823529411764706
GRP_44,15,0.17647058823529413
GRP_36,15,0.17647058823529413
GRP_50,14,0.16470588235294117
GRP_53,11,0.12941176470588237
GRP_65,11,0.12941176470588237
GRP_52,9,0.10588235294117646
GRP_51,8,0.09411764705882353
GRP_55,8,0.09411764705882353
GRP_59,6,0.07058823529411765
GRP_49,6,0.07058823529411765
GRP_46,6,0.07058823529411765
GRP_43,5,0.0588235294117647
GRP_66,4,0.047058823529411764
GRP_32,4,0.047058823529411764
GRP_63,3,0.03529411764705882
GRP_38,3,0.03529411764705882
GRP_68,3,0.03529411764705882
GRP_58,3,0.03529411764705882
GRP_56,3,0.03529411764705882
GRP_57,2,0.023529411764705882
GRP_69,2,0.023529411764705882
GRP_54,2,0.023529411764705882
GRP_71,2,0.023529411764705882
GRP_72,2,0.023529411764705882
GRP_73,1,0.011764705882352941
GRP_67,1,0.011764705882352941
GRP_64,1,0.011764705882352941
GRP_61,1,0.011764705882352941
GRP_70,1,0.011764705882352941
GRP_35,1,0.011764705882352941
